Y,X1,X2,X3
763110,61,139,90
434343,91,129,37
291200,35,128,65
56640,48,118,10
225600,25,141,64
656964,84,99,79
139400,34,41,100
154440,24,143,45
158976,64,69,36
406626,33,122,101
37050,19,150,13
564696,46,132,93
347392,64,46,118
80262,14,49,117
498432,48,88,118
445560,94,60,79
462981,37,129,97
308495,79,71,55
645624,61,147,72
627000,55,114,100
79380,10,126,63
1046320,82,110,116
147686,49,137,22
177840,52,36,95
861696,66,136,96
402380,62,55,118
117306,49,126,19
999460,70,121,118
1027296,82,116,108
675360,67,84,120
229554,81,109,26
69090,15,94,49
730701,97,81,93
17100,6,75,38
126324,29,99,44
48314,98,29,17
300000,20,125,120
310878,81,38,101
17496,12,27,54
848848,53,143,112
117216,74,132,12
40734,73,31,18
293040,88,45,74
142500,25,150,38
229635,81,63,45
97812,39,44,57
8960,10,56,16
562400,74,95,80
256824,54,82,58
256500,75,76,45
380928,62,128,48
351654,43,94,87
158949,87,29,63
146969,59,53,47
104500,11,125,76
9600,5,128,15
56960,89,40,16
740922,59,138,91
537624,76,131,54
231819,83,133,21
128576,49,32,82
453600,54,75,112
203700,30,97,70
1556877,89,147,119
52020,9,68,85
831234,82,109,93
108664,17,68,94
302640,40,78,97
16983,9,111,17
136800,15,96,95
265356,27,91,108
67106,58,89,13
645873,59,123,89
85176,26,63,52
61596,59,36,29
246874,17,137,106
62634,39,146,11
230652,18,149,86
882740,76,115,101
77000,35,110,20
42640,26,40,41
517440,77,60,112
229320,98,65,36
99216,72,53,26
830830,83,91,110
59840,17,88,40
420000,40,125,84
6534,11,27,22
41584,8,46,113
57240,27,40,53
161920,92,44,40
258060,69,55,68
169650,13,150,87
69384,56,59,21
120960,30,84,48
136300,100,47,29
195570,15,123,106
291060,63,66,70
197948,34,71,82
315549,29,117,93
108864,63,54,32
1848,1,44,42
69750,31,30,75
875520,96,80,114
77280,8,84,115
152880,42,40,91
45402,21,94,23
9040,1,113,80
61640,40,67,23
305805,95,29,111
471200,40,124,95
6336,9,64,11
82080,95,36,24
168000,100,112,15
231660,78,99,30
769500,75,114,90
20216,38,28,19
343980,91,105,36
12543,3,113,37
101080,76,35,38
1124200,77,146,100
115661,41,31,91
657000,60,146,75
74358,51,27,54
246050,37,70,95
95680,92,80,13
134400,80,84,20
326895,95,37,93
1250200,100,133,94
160208,68,31,76
1048707,99,99,107
750288,66,98,116
80940,95,71,12
800800,80,143,70
40848,92,37,12
53535,83,43,15
89110,19,70,67
201267,57,33,107
335296,62,52,104
476949,97,149,33
23760,8,110,27
108864,9,126,96
498960,60,99,84
89056,11,92,88
626400,90,116,60
768586,91,82,103
589572,54,106,103
176700,38,50,93
13708,1,149,92
1057224,87,124,98
168720,74,40,57
66240,12,120,46
313536,92,71,48
107616,76,59,24
524790,51,98,105
910035,63,135,107
555968,73,136,56
69861,73,33,29
3430,1,70,49
70876,47,52,29
269280,40,132,51
462150,75,79,78
219472,43,58,88
446880,96,95,49
305760,39,112,70
297297,33,143,63
345950,37,110,85
1011770,83,115,106
737618,47,133,118
626612,98,139,46
13780,4,65,53
426384,72,126,47
400315,59,115,59
208236,37,84,67
80080,11,80,91
335622,42,131,61
61050,25,74,33
127908,34,57,66
452016,86,73,72
94446,27,66,53
569972,97,113,52
970830,67,126,115
197760,64,103,30
8640,3,64,45
684208,56,149,82
5810,7,83,10
163863,51,63,51
194400,27,72,100
566080,80,122,58
174096,78,62,36
46398,11,114,37
869040,60,142,102
1347192,99,126,108
28875,7,75,55
550440,45,139,88
266560,85,98,32
98280,9,91,120
600732,66,123,74
613795,65,133,71
374976,56,124,54
11850,3,50,79
69564,51,62,22
267050,25,98,109
67620,7,140,69
132594,22,123,49
422450,50,119,71
303810,82,65,57
1059004,86,131,94
74880,8,120,78
274950,39,94,75
150336,18,72,116
110352,38,33,88
10270,13,79,10
381570,69,70,79
482300,70,65,106
8000,16,25,20
459940,61,116,65
742794,89,107,78
323971,47,113,61
74480,10,133,56
219024,39,52,108
300820,65,89,52
335800,20,146,115
47804,74,38,17
561600,80,130,54
453695,73,55,113
547230,87,74,85
1636778,97,143,118
20880,12,58,30
405080,38,130,82
555984,88,54,117
789360,92,110,78
10880,17,64,10
150568,88,59,29
728028,81,107,84
288120,98,140,21
409437,63,67,97
269892,81,68,49
267900,76,47,75
1677,1,39,43
68880,41,80,21
505180,67,65,116
101618,31,149,22
22792,22,37,28
365690,65,58,97
194392,94,44,47
135072,18,67,112
188244,36,63,83
63973,37,91,19
153504,72,52,41
103428,78,39,34
1017900,90,145,78
736368,92,138,58
17010,5,81,42
53148,6,86,103
195130,79,130,19
134589,91,87,17
469000,50,140,67
13200,6,25,88
247520,52,68,70
19110,7,35,78
693528,74,132,71
60760,31,40,49
290304,81,56,64
55080,34,60,27
98315,35,53,53
70070,55,98,13
79212,21,92,41
569900,41,139,100
654550,65,95,106
623760,60,113,92
259675,47,85,65
410380,68,71,85
28080,18,65,24
1239660,90,142,97
1110340,98,103,110
23520,8,30,98
174906,54,79,41
222464,32,88,79
276640,76,40,91
162000,90,45,40
142072,59,28,86
57904,77,47,16
261900,97,90,30
44574,17,38,69
113050,17,95,70
388740,93,55,76
52598,91,34,17
731718,59,106,117
396000,44,125,72
271284,94,74,39
197904,76,93,28
1334368,98,148,92
427614,57,121,62
168480,52,40,81
250040,47,76,70
134750,98,55,25
250346,43,82,71
277992,44,78,81
653790,93,95,74
242676,84,27,107
217560,98,74,30
49755,5,107,93
392925,65,65,93
323466,39,143,58
486178,49,121,82
60480,15,36,112
55860,19,147,20
178266,22,73,111
417872,41,91,112
48600,18,30,90
11115,19,45,13
191196,18,94,113
26496,6,69,64
88320,30,46,64
598016,64,146,64
182000,65,100,28
196000,49,40,100
127725,15,131,65
84084,49,26,66
861328,82,101,104
379080,24,135,117
185523,67,71,39
899499,71,123,103
440578,43,94,109
190314,97,109,18
648000,54,125,96
328992,48,149,46
560500,95,100,59
419520,60,76,92
489856,64,89,86
132858,99,122,11
48416,8,68,89
57200,88,65,10
270270,99,70,39
106400,38,28,100
78120,93,30,28
42840,12,85,42
142158,57,58,43
489192,68,66,109
717750,55,150,87
79254,37,119,18
192780,63,68,45
276639,33,101,83
254040,73,29,120
744000,50,124,120
43260,28,103,15
183680,41,40,112
473960,85,136,41
174240,66,44,60
497250,39,125,102
566352,54,114,92
12012,28,39,11
418779,79,57,93
123281,47,61,43
348480,80,66,66
79152,97,68,12
103680,45,144,16
129920,64,58,35
210330,19,135,82
478504,43,104,107
445284,57,124,63
778128,86,116,78
24570,30,39,21
83600,88,38,25
295974,81,63,58
240084,76,39,81
91632,12,83,92
135783,47,27,107
529644,76,69,101
178752,48,49,76
602316,44,117,117
1234240,76,140,116
21200,5,106,40
149292,78,33,58
334970,43,82,95
225852,87,59,44
220455,71,69,45
34580,7,95,52
507177,99,47,109
76000,40,100,19
157728,32,93,53
247968,82,84,36
749700,100,119,63
369600,70,44,120
174800,76,46,50
105600,40,40,66
349015,29,145,83
570720,58,123,80
228042,41,54,103
12960,8,90,18
242190,27,138,65
72114,14,51,101
249260,55,103,44
420000,40,150,70
181440,21,90,96
150528,21,64,112
473184,31,144,106
328176,72,106,43
45024,21,134,16
32000,32,25,40
23166,11,117,18
42328,74,44,13
344448,96,92,39
384192,72,58,92
23760,4,135,44
209844,87,134,18
366540,41,149,60
305003,23,149,89
127920,82,104,15
695826,86,87,93
63648,17,117,32
129352,74,38,46
258336,69,144,26
295218,42,71,99
8000,10,25,32
167552,44,136,28
700128,88,78,102
49140,14,117,30
84378,21,49,82
133920,18,80,93
192930,15,109,118
267840,62,54,80
147668,58,67,38
188800,25,64,118
413292,66,101,62
48576,32,138,11
435299,67,89,73
596160,72,72,115
141750,75,135,14
153088,23,104,64
166140,30,78,71
110055,55,69,29
440440,52,110,77
301860,90,129,26
336600,25,132,102
36960,22,105,16
620425,83,65,115
41480,10,61,68
1892,2,43,22
341504,58,64,92
59004,4,149,99
177408,64,132,21
12663,9,67,21
79458,19,123,34
8820,7,60,21
612750,86,125,57
191880,26,90,82
1266720,87,140,104
156880,20,148,53
218148,53,42,98
534060,69,90,86
785408,59,128,104
112896,48,147,16
266392,67,71,56
215340,97,30,74
282900,75,46,82
156839,47,47,71
25792,13,124,16
133770,91,147,10
309540,77,60,67
24174,3,79,102
671232,92,96,76
269100,39,75,92
718946,83,122,71
387515,47,97,85
56990,10,139,41
309120,46,64,105
1082802,98,127,87
93002,49,146,13
92718,54,101,17
289080,33,120,73
8961,3,29,103
114000,50,57,40
152958,37,78,53
65400,60,109,10
16250,26,25,25
87750,30,45,65
317258,82,53,73
1176120,88,135,99
3300,6,55,10
158790,67,30,79
146475,31,45,105
252450,22,135,85
24240,5,101,48
533596,59,76,119
194176,32,82,74
813150,90,139,65
592798,43,122,113
642936,84,86,89
69120,8,80,108
14364,3,133,36
446220,45,134,74
35904,17,132,16
4080,4,30,34
229680,44,60,87
256968,72,43,83
79744,8,89,112
87986,41,58,37
349713,91,63,61
85260,29,105,28
241862,83,47,62
1264200,98,129,100
662055,95,69,101
1172528,76,133,116
327888,33,138,72
151554,67,39,58
264096,84,131,24
1220120,94,110,118
3840,1,80,48
504735,69,77,95
85560,60,31,46
729600,64,120,95
193024,32,104,58
743311,79,97,97
440154,57,99,78
607500,81,125,60
146432,44,64,52
398650,67,70,85
169290,66,57,45
